MiniDOT Logger Concatenated Data File
Sensor:             7392-419694
Concatenation Date: 2018Apr07 15:30:50 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 246.89 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1519145280,           2018-02-20 16:48:00,           2018-02-20 10:48:00,      3.440000,      5.410000,          0.035000,                     0.285308,      0.969000
                1519145880,           2018-02-20 16:58:00,           2018-02-20 10:58:00,      3.430000,      5.400000,          0.033000,                     0.268936,      0.969000
                1519146480,           2018-02-20 17:08:00,           2018-02-20 11:08:00,      3.440000,      5.450000,          0.033000,                     0.269281,      0.969000
                1519147080,           2018-02-20 17:18:00,           2018-02-20 11:18:00,      3.430000,      5.430000,          0.034000,                     0.277298,      0.969000
                1519147680,           2018-02-20 17:28:00,           2018-02-20 11:28:00,      3.440000,      5.479000,          0.035000,                     0.285813,      0.969000
                1519148280,           2018-02-20 17:38:00,           2018-02-20 11:38:00,      3.430000,      5.509000,          0.034000,                     0.277860,      0.968000
                1519148880,           2018-02-20 17:48:00,           2018-02-20 11:48:00,      3.430000,      5.529000,          0.034000,                     0.278003,      0.969000
                1519149480,           2018-02-20 17:58:00,           2018-02-20 11:58:00,      3.430000,      5.558000,          0.033000,                     0.270026,      0.969000
                1519150080,           2018-02-20 18:08:00,           2018-02-20 12:08:00,      3.430000,      5.558000,          0.034000,                     0.278209,      0.969000
                1519150680,           2018-02-20 18:18:00,           2018-02-20 12:18:00,      3.430000,      5.588000,          0.033000,                     0.270234,      0.969000
                1519151280,           2018-02-20 18:28:00,           2018-02-20 12:28:00,      3.430000,      5.647000,          0.034000,                     0.278843,      0.969000
                1519151880,           2018-02-20 18:38:00,           2018-02-20 12:38:00,      3.430000,      5.667000,          0.032000,                     0.262574,      0.969000
                1519152480,           2018-02-20 18:48:00,           2018-02-20 12:48:00,      3.430000,      5.667000,          0.034000,                     0.278985,      0.968000
                1519153080,           2018-02-20 18:58:00,           2018-02-20 12:58:00,      3.430000,      5.716000,          0.035000,                     0.287550,      0.968000
