DateTime,tz_cd,GageHeight_ft
1/8/2018 3:00,CST,5.81
1/8/2018 3:15,CST,5.8
1/8/2018 3:30,CST,5.78
1/8/2018 3:45,CST,5.78
1/8/2018 4:00,CST,5.78
1/8/2018 4:15,CST,5.77
1/8/2018 4:30,CST,5.76
1/8/2018 4:45,CST,5.75
1/8/2018 5:00,CST,5.75
1/8/2018 5:15,CST,5.74
1/8/2018 5:30,CST,5.74
1/8/2018 5:45,CST,5.73
1/8/2018 6:00,CST,5.73
1/8/2018 6:15,CST,5.72
1/8/2018 6:30,CST,5.71
1/8/2018 6:45,CST,5.71
1/8/2018 7:00,CST,5.7
1/8/2018 7:15,CST,5.7
1/8/2018 7:30,CST,5.69
1/8/2018 7:45,CST,5.7
1/8/2018 8:00,CST,5.69
1/8/2018 8:15,CST,5.69
1/8/2018 8:30,CST,5.68
1/8/2018 8:45,CST,5.68
1/8/2018 9:00,CST,5.68
1/8/2018 9:15,CST,5.67
1/8/2018 9:30,CST,5.67
1/8/2018 9:45,CST,5.67
1/8/2018 10:00,CST,5.67
1/8/2018 10:15,CST,5.66
1/8/2018 10:30,CST,5.66
1/8/2018 10:45,CST,5.65
1/8/2018 11:00,CST,5.66
1/8/2018 11:15,CST,5.64
1/8/2018 11:30,CST,5.65
1/8/2018 11:45,CST,5.65
1/8/2018 12:00,CST,5.65
1/8/2018 12:15,CST,5.65
1/8/2018 12:30,CST,5.65
1/8/2018 12:45,CST,5.65
1/8/2018 13:00,CST,5.65
1/8/2018 13:15,CST,5.65
1/8/2018 13:30,CST,5.66
1/8/2018 13:45,CST,5.65
1/8/2018 14:00,CST,5.67
1/8/2018 14:15,CST,5.67
1/8/2018 14:30,CST,5.67
1/8/2018 14:45,CST,5.67
1/8/2018 15:00,CST,5.68
1/8/2018 15:15,CST,5.69
1/8/2018 15:30,CST,5.7
1/8/2018 15:45,CST,5.71
1/8/2018 16:00,CST,5.71
1/8/2018 16:15,CST,5.72
1/8/2018 16:30,CST,5.72
1/8/2018 16:45,CST,5.72
1/8/2018 17:00,CST,5.73
1/8/2018 17:15,CST,5.73
1/8/2018 17:30,CST,5.73
1/8/2018 17:45,CST,5.74
1/8/2018 18:00,CST,5.73
1/8/2018 18:15,CST,5.73
1/8/2018 18:30,CST,5.73
1/8/2018 18:45,CST,5.72
1/8/2018 19:00,CST,5.72
1/8/2018 19:15,CST,5.72
1/8/2018 19:30,CST,5.72
1/8/2018 19:45,CST,5.7
1/8/2018 20:00,CST,5.7
1/8/2018 20:15,CST,5.7
1/8/2018 20:30,CST,5.69
1/8/2018 20:45,CST,5.68
1/8/2018 21:00,CST,5.68
1/8/2018 21:15,CST,5.66
1/8/2018 21:30,CST,5.66
1/8/2018 21:45,CST,5.65
1/8/2018 22:00,CST,5.64
1/8/2018 22:15,CST,5.63
1/8/2018 22:30,CST,5.62
1/8/2018 22:45,CST,5.61
1/8/2018 23:00,CST,5.61
1/8/2018 23:15,CST,5.61
1/8/2018 23:30,CST,5.6
1/8/2018 23:45,CST,5.59
1/9/2018 0:00,CST,5.59
1/9/2018 0:15,CST,5.58
1/9/2018 0:30,CST,5.57
